epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,7802.71,1.79462,1.22161,1.01417,0.52139,0.38975,0.39397,0.17061,1.85051,1.31441,1.03775,0.0012278,0.0012278,0.0012278
80,7929.22,1.79628,1.20514,1.01324,0.5193,0.39757,0.39287,0.17096,1.8463,1.31415,1.04574,0.0012179,0.0012179,0.0012179
81,7972.33,1.79564,1.20365,1.01928,0.50601,0.39735,0.38523,0.16635,1.85788,1.36649,1.04302,0.001208,0.001208,0.001208
82,8071.47,1.79152,1.19212,1.01012,0.51852,0.38931,0.39111,0.17534,1.8327,1.30391,1.03861,0.0011981,0.0011981,0.0011981
83,8143.22,1.77662,1.18867,1.01043,0.50964,0.3887,0.38432,0.16679,1.85491,1.33362,1.04018,0.0011882,0.0011882,0.0011882
84,8255.4,1.79113,1.18824,1.00596,0.50633,0.39079,0.38533,0.17052,1.84101,1.30238,1.04217,0.0011783,0.0011783,0.0011783
85,8376.43,1.78502,1.18754,1.01229,0.5177,0.40065,0.39355,0.172,1.84548,1.29576,1.04031,0.0011684,0.0011684,0.0011684
86,8470.45,1.78236,1.19456,1.00547,0.52011,0.39509,0.39366,0.17138,1.84329,1.30943,1.03758,0.0011585,0.0011585,0.0011585
87,8522.92,1.77526,1.19086,1.00375,0.50612,0.39509,0.3851,0.16631,1.86836,1.32162,1.04333,0.0011486,0.0011486,0.0011486
88,8576.23,1.7598,1.1743,1.0067,0.51688,0.39353,0.38919,0.17209,1.84112,1.32596,1.04005,0.0011387,0.0011387,0.0011387
89,8648.12,1.77866,1.18042,1.00638,0.51784,0.39513,0.39124,0.17004,1.85125,1.31084,1.04157,0.0011288,0.0011288,0.0011288
90,8700.42,1.77805,1.19559,1.00984,0.51201,0.3934,0.38621,0.16787,1.86013,1.31606,1.04526,0.0011189,0.0011189,0.0011189
91,8801.19,1.76634,1.17864,1.00609,0.50326,0.39327,0.38654,0.17094,1.84278,1.30827,1.03858,0.001109,0.001109,0.001109
92,8883.3,1.76214,1.16119,1.00664,0.51568,0.39426,0.3865,0.17044,1.8508,1.33002,1.04302,0.0010991,0.0010991,0.0010991
93,8939.61,1.76352,1.1706,1.00669,0.52239,0.39965,0.39605,0.17315,1.83982,1.30152,1.03514,0.0010892,0.0010892,0.0010892
94,8982.7,1.7603,1.15924,1.00486,0.51411,0.39574,0.39003,0.17101,1.84627,1.31416,1.0367,0.0010793,0.0010793,0.0010793
95,9047.21,1.7603,1.16124,1.00228,0.51531,0.39279,0.38914,0.1692,1.85056,1.31293,1.04434,0.0010694,0.0010694,0.0010694
96,9143.78,1.75923,1.16284,1.00629,0.51461,0.39222,0.39023,0.16737,1.86067,1.32903,1.0401,0.0010595,0.0010595,0.0010595
97,9243.48,1.74879,1.16351,1.00284,0.51589,0.39557,0.39224,0.17416,1.84165,1.29107,1.04047,0.0010496,0.0010496,0.0010496
98,9458.97,1.76209,1.16944,1.00619,0.51203,0.39096,0.38899,0.16883,1.85598,1.32297,1.03755,0.0010397,0.0010397,0.0010397
99,9530.68,1.75274,1.14801,0.99667,0.52003,0.40113,0.39334,0.17383,1.83272,1.29838,1.03677,0.0010298,0.0010298,0.0010298
100,9610.63,1.7527,1.15656,0.99744,0.52523,0.39709,0.39547,0.17395,1.84317,1.29315,1.03927,0.0010199,0.0010199,0.0010199
101,9704.16,1.74928,1.14419,1.00462,0.51764,0.39996,0.39287,0.17254,1.84692,1.31501,1.04125,0.00101,0.00101,0.00101
102,9783.34,1.74278,1.14355,1.00015,0.52146,0.40091,0.39964,0.17551,1.83437,1.29255,1.04082,0.0010001,0.0010001,0.0010001
103,9931.6,1.74246,1.14135,0.99843,0.52174,0.40343,0.39663,0.17432,1.83524,1.29331,1.03578,0.0009902,0.0009902,0.0009902
104,9994,1.75811,1.1503,0.99801,0.51701,0.39883,0.39522,0.17264,1.84742,1.30932,1.04148,0.0009803,0.0009803,0.0009803
105,10045.7,1.75429,1.1465,0.99832,0.51401,0.39833,0.39139,0.16979,1.85607,1.31867,1.04321,0.0009704,0.0009704,0.0009704
106,10114.4,1.74885,1.14178,0.99685,0.52242,0.39709,0.39684,0.17363,1.84398,1.29109,1.0387,0.0009605,0.0009605,0.0009605
107,10189.1,1.74115,1.13876,0.9969,0.52629,0.39603,0.39368,0.17404,1.83273,1.29442,1.04003,0.0009506,0.0009506,0.0009506
108,10236.1,1.72864,1.13544,0.99505,0.51991,0.40148,0.39736,0.17363,1.84415,1.29502,1.04023,0.0009407,0.0009407,0.0009407
109,10294.3,1.73509,1.13478,0.99297,0.51987,0.39857,0.39407,0.17275,1.83444,1.30742,1.04307,0.0009308,0.0009308,0.0009308
110,10331.1,1.74217,1.14121,0.99873,0.51959,0.39652,0.39212,0.17161,1.84883,1.31235,1.04346,0.0009209,0.0009209,0.0009209
111,10397.7,1.73609,1.13064,0.99663,0.51564,0.40235,0.39323,0.17255,1.84648,1.29822,1.0456,0.000911,0.000911,0.000911
112,10479.9,1.71568,1.11256,0.99427,0.52068,0.40048,0.39546,0.17432,1.83738,1.29865,1.03964,0.0009011,0.0009011,0.0009011
113,10557.8,1.72861,1.1263,0.99578,0.52116,0.40091,0.39603,0.17408,1.84402,1.29182,1.03992,0.0008912,0.0008912,0.0008912
114,10648.5,1.72994,1.13028,0.99016,0.51572,0.39505,0.38788,0.16888,1.862,1.32093,1.04721,0.0008813,0.0008813,0.0008813
115,10715.6,1.72585,1.10976,0.99393,0.51658,0.40282,0.39898,0.17493,1.83829,1.29183,1.03847,0.0008714,0.0008714,0.0008714
116,10763.7,1.71767,1.11853,0.98692,0.52223,0.40078,0.39561,0.17338,1.84025,1.30479,1.03844,0.0008615,0.0008615,0.0008615
117,10845.3,1.70168,1.10315,0.99064,0.51474,0.39991,0.38926,0.17137,1.8459,1.31861,1.04251,0.0008516,0.0008516,0.0008516
118,10927.2,1.72072,1.1143,0.98461,0.52147,0.399,0.39315,0.17134,1.86748,1.3009,1.04439,0.0008417,0.0008417,0.0008417
119,10972.9,1.7035,1.09571,0.98069,0.52185,0.39822,0.39495,0.1735,1.84368,1.30664,1.04414,0.0008318,0.0008318,0.0008318
120,11063.5,1.71034,1.10813,0.98548,0.51808,0.40478,0.39513,0.17339,1.8399,1.31216,1.0409,0.0008219,0.0008219,0.0008219
121,11120.9,1.71033,1.10868,0.98762,0.52429,0.40217,0.39426,0.17429,1.83852,1.29642,1.04326,0.000812,0.000812,0.000812
122,11201.9,1.70719,1.11124,0.98674,0.52462,0.40043,0.39711,0.17377,1.84376,1.29993,1.04362,0.0008021,0.0008021,0.0008021
123,11335.7,1.69522,1.10004,0.98409,0.52238,0.40387,0.39693,0.17465,1.84473,1.30641,1.04194,0.0007922,0.0007922,0.0007922
